uniqsubs,actvsubs,new_cell,asl_flag,totcalls,totmou,totrev,adjrev,adjmou,adjqty,avgrev,avgmou,avgqty,avg3mou,avg3qty,avg3rev,avg6mou,avg6qty,avg6rev,prizm_social_one,area,dualband,refurb_new,hnd_price,phones,models,hnd_webcap,truck,rv,forgntvl,kid0_2,kid3_5,kid6_10,kid11_15,kid16_17,creditcd,eqpdays,rev_Mean,mou_Mean,totmrc_Mean,da_Mean,ovrmou_Mean,ovrrev_Mean,vceovr_Mean,datovr_Mean,roam_Mean,change_mou,change_rev,drop_vce_Mean,drop_dat_Mean,blck_vce_Mean,blck_dat_Mean,unan_vce_Mean,unan_dat_Mean,plcd_vce_Mean,plcd_dat_Mean,recv_vce_Mean,recv_sms_Mean,comp_vce_Mean,comp_dat_Mean,custcare_Mean,ccrndmou_Mean,cc_mou_Mean,inonemin_Mean,threeway_Mean,mou_cvce_Mean,mou_cdat_Mean,mou_rvce_Mean,owylis_vce_Mean,mouowylisv_Mean,iwylis_vce_Mean,mouiwylisv_Mean,peak_vce_Mean,peak_dat_Mean,mou_peav_Mean,mou_pead_Mean,opk_vce_Mean,opk_dat_Mean,mou_opkv_Mean,mou_opkd_Mean,drop_blk_Mean,attempt_Mean,complete_Mean,callfwdv_Mean,callwait_Mean,months,handset_months,hs_bin,usage_trend,revenue_trend,overage_share,dropblk_rate,care_per_mou,rev_per_sub
4,4,0.0,0.0,24431,36047.0,2358.38,2274.53,36047.0,24431,98.89,1567.26,1062.22,2025,1194,115,2010.0,1236.0,97.0,0.0,0.0,0.0,0.0,99.98999023,7.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,105.59,1522.75,85.0,0.495,132.25,33.0975,33.0,0.0975,0.0,-1507.75,-27.34,75.66666667,0.333333333,31.66666667,0.0,202.0,1.333333333,723.6666667,1.666666667,639.6666667,0.0,458.3333333,0.0,0.0,0.0,0.0,411.6666667,0.333333333,416.38,0.0,590.42,93.0,59.50666667,135.6666667,108.7366667,475.3333333,0.0,503.3633333,0.0,578.6666667,0.0,503.4366667,0.0,107.6666667,725.3333333,458.3333333,0.0,46.33333333,24,0.4,0.0,-0.9894995898277277,-0.25649685711605213,0.3105122431747818,0.14823313451804648,0.0,21.118000000000002
1,1,0.0,0.0,1338,2485.0,398.79,338.27,2485.0,1338,56.38,414.17,223.0,509,292,70,414.0,223.0,57.0,0.0,0.0,0.0,0.0,99.98999023,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,98.0425,618.0,39.99,0.495,192.25,67.2875,67.2875,0.0,0.0,327.0,85.8275,3.666666667,0.0,7.666666667,0.0,43.66666667,0.0,198.3333333,0.0,114.0,0.0,145.3333333,0.0,1.0,2.666666667,2.22,56.66666667,0.0,105.79,0.0,160.8533333,45.66666667,21.62,34.33333333,38.93666667,119.0,0.0,120.4833333,0.0,138.0,0.0,146.16,0.0,11.33333333,198.3333333,145.3333333,0.0,3.666666667,7,1.7333333333333334,0.0,0.5282714054927302,0.8665724310270843,0.6793800641138904,0.056856187283755216,0.0016155088852988692,49.02125
1,1,0.0,0.0,1316,3037.0,921.54,890.69,3015.0,1311,38.73,131.09,57.0,90,46,36,82.0,42.0,36.0,0.0,0.0,0.0,0.0,9.989997864,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,570.0,35.805,101.25,34.98,0.0,0.0,0.0,0.0,0.0,0.0,34.75,-0.825,0.666666667,0.0,0.0,0.0,0.666666667,0.0,28.33333333,0.0,13.33333333,0.0,27.0,0.0,1.0,5.666666667,5.08,10.0,0.0,51.42666667,0.0,11.06333333,1.333333333,1.133333333,0.333333333,0.566666667,18.66666667,0.0,21.75,0.0,21.0,0.0,40.74,0.0,0.666666667,28.33333333,27.0,0.0,0.0,24,19.0,0.0,0.33985330073349634,-0.02241543268577639,0.0,0.02272727274121901,0.009779951100244499,17.9025
2,1,0.0,0.0,2335,7098.0,1087.34,1050.73,7076.0,2324,87.56,589.67,193.67,719,261,106,765.0,267.0,122.0,0.0,0.0,0.0,0.0,29.98999023,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,102.4475,695.25,39.99,1.485,202.75,70.9725,70.875,0.0975,0.0,-70.25,-10.4575,11.66666667,0.0,0.666666667,0.0,47.0,0.0,229.6666667,0.666666667,93.0,0.0,172.6666667,0.666666667,1.333333333,1.333333333,0.413333333,41.33333333,0.666666667,325.7433333,0.253333333,183.2466667,41.33333333,44.29333333,9.0,19.71666667,148.3333333,0.0,285.9833333,0.0,104.3333333,0.666666667,223.01,0.253333333,12.33333333,230.3333333,173.3333333,0.0,3.666666667,13,12.5,0.0,-0.10089766606822262,-0.10108992484110296,0.6860726455448415,0.053314121030736905,0.0019150209450628365,34.149166666666666
2,1,0.0,0.0,1641,4298.0,549.78,366.49,3780.0,1454,91.62,945.0,363.5,921,353,91,363.0,127.0,50.0,0.0,0.0,0.0,0.0,129.9899902,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,93.0775,942.0,76.4425,12.1275,6.0,2.1,2.1,0.0,0.0,62.0,6.1125,5.666666667,0.0,7.333333333,0.0,31.33333333,0.0,238.6666667,0.0,133.3333333,0.0,195.0,0.0,0.333333333,0.666666667,0.41,51.66666667,0.0,309.4466667,0.0,358.3566667,56.0,37.25333333,6.666666667,13.21,237.6666667,0.0,499.0733333,0.0,90.0,0.0,168.73,0.0,13.0,238.6666667,195.0,0.0,3.666666667,6,6.033333333333333,0.0,0.06574761399787911,0.06497302755706731,0.02232202173739736,0.054242002774097076,0.0003534817953340403,31.025833333333335
1,1,0.0,0.0,517,2134.0,625.41,545.43,2120.0,514,54.54,212.0,51.4,94,16,52,194.0,45.0,57.0,0.0,0.0,0.0,0.0,59.98999023,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.0,52.2425,94.25,59.99,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.7975,0.333333333,0.0,0.333333333,0.0,6.666666667,0.0,18.0,0.0,1.333333333,0.0,10.66666667,0.0,0.0,0.0,0.0,0.666666667,0.0,63.56666667,0.0,1.463333333,0.333333333,0.3,0.0,0.0,7.666666667,0.0,26.41,0.0,4.333333333,0.0,38.62,0.0,0.666666667,18.0,10.66666667,0.0,0.0,11,11.5,0.0,0.007874015748031496,0.03376062356200404,0.0,0.035087719315789474,0.0,26.12125
1,1,0.0,0.0,886,4198.0,501.61,436.0,4198.0,886,36.33,349.83,73.83,431,83,35,408.0,85.0,36.0,0.0,0.0,0.0,0.0,59.98999023,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369.0,38.7525,474.0,44.99,0.0,10.75,3.7625,3.7625,0.0,0.0,128.0,11.2875,2.0,0.0,0.0,0.0,13.33333333,0.0,74.0,0.0,15.33333333,0.0,59.66666667,0.0,0.0,0.0,0.0,3.333333333,0.0,155.61,0.0,126.9433333,8.0,5.483333333,0.0,0.0,29.33333333,0.0,98.24333333,0.0,44.0,0.0,184.31,0.0,2.0,74.0,59.66666667,0.0,0.0,13,12.3,0.0,0.2694736842105263,0.2839444060122005,0.09464813533740017,0.02666666666666667,0.0,19.37625
4,2,0.0,0.0,2854,12987.0,598.67,541.68,12759.0,2794,54.17,1275.9,279.4,1379,281,54,1352.0,308.0,54.0,0.0,0.0,0.0,0.0,199.9899902,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341.0,55.5425,1460.75,59.99,0.0,0.0,0.0,0.0,0.0,1.5525,244.25,4.6575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,11.366666666666667,0.0,0.16709423636052675,0.0823716673298846,0.0,0.0,0.0,11.1085
2,2,0.0,0.0,2842,6776.0,564.32,524.33,6769.0,2837,32.77,423.06,177.31,737,286,94,640.0,243.0,70.0,0.0,0.0,0.0,0.0,99.98999023,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,80.8825,702.25,32.735,0.2475,157.25,47.9,47.9,0.0,0.0,-103.25,-40.8925,2.333333333,0.0,1.333333333,0.0,65.0,0.0,230.0,0.0,120.0,0.0,162.6666667,0.0,0.333333333,0.333333333,0.266666667,54.33333333,0.0,256.81,0.0,239.3166667,46.66666667,52.20333333,20.0,33.42,139.0,0.0,265.9333333,0.0,118.3333333,0.0,230.1933333,0.0,3.666666667,230.0,162.6666667,0.0,1.333333333,18,0.23333333333333334,0.0,-0.14681834340561678,-0.4994046346899521,0.5849845815650475,0.015873015874458874,0.00047398980874511197,26.96083333333333
1,1,0.0,0.0,122,260.0,418.62,314.03,253.0,117,28.55,23.0,10.64,14,7,20,16.0,7.0,28.0,0.0,0.0,0.0,0.0,79.98999023,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,15.0175,15.5,22.1275,0.0,1.0,0.39,0.0,0.39,0.0,4.5,-15.9775,0.666666667,0.666666667,0.0,0.0,0.0,0.0,10.66666667,2.0,0.0,0.0,10.0,1.333333333,0.0,0.0,0.0,0.0,0.0,11.7,1.626666667,0.0,9.333333333,10.75333333,0.0,0.0,6.666666667,1.333333333,9.7,1.626666667,3.333333333,0.0,2.0,0.0,1.333333333,12.66666667,11.33333333,0.0,0.0,12,12.0,0.0,0.2727272727272727,-0.997502731387545,0.024348368971437495,0.09756097556157049,0.0,7.50875
