iter	Passed	Remaining
0	94	28390
1	132	19790
2	168	16659
3	204	15163
4	241	14240
5	277	13579
6	313	13103
7	349	12740
8	385	12456
9	419	12162
10	457	12010
11	495	11889
12	533	11776
13	568	11608
14	605	11496
15	642	11408
16	681	11340
17	715	11207
18	749	11090
19	788	11043
20	824	10955
21	862	10895
22	898	10820
23	935	10753
24	973	10707
25	1010	10649
26	1049	10611
27	1085	10547
28	1122	10485
29	1157	10418
30	1193	10357
31	1233	10328
32	1267	10256
33	1306	10220
34	1338	10132
35	1373	10073
36	1412	10043
37	1444	9959
38	1481	9914
39	1518	9867
40	1557	9837
41	1590	9768
42	1627	9728
43	1663	9676
44	1699	9630
45	1737	9593
46	1775	9556
47	1811	9508
48	1847	9464
49	1885	9429
50	1925	9402
51	1962	9358
52	1998	9311
53	2030	9248
54	2068	9213
55	2103	9165
56	2139	9120
57	2174	9071
58	2213	9039
59	2247	8990
60	2282	8944
61	2322	8916
62	2373	8927
63	2412	8895
64	2449	8856
65	2483	8805
66	2520	8764
67	2556	8720
68	2603	8716
69	2640	8675
70	2680	8644
71	2715	8598
72	2749	8549
73	2780	8493
74	2817	8452
75	2849	8398
76	2896	8387
77	2931	8343
78	2964	8293
79	2998	8245
80	3035	8206
81	3071	8165
82	3109	8130
83	3161	8129
84	3197	8088
85	3237	8056
86	3276	8020
87	3312	7980
88	3348	7938
89	3380	7886
90	3415	7843
91	3450	7801
92	3486	7760
93	3523	7721
94	3559	7681
95	3596	7642
96	3632	7602
97	3669	7564
98	3704	7521
99	3738	7477
100	3772	7432
101	3809	7394
102	3847	7358
103	3883	7319
104	3924	7287
105	3959	7247
106	4007	7228
107	4058	7215
108	4094	7175
109	4137	7146
110	4171	7102
111	4207	7062
112	4244	7024
113	4280	6984
114	4317	6944
115	4354	6906
116	4394	6872
117	4429	6831
118	4469	6798
119	4504	6756
120	4542	6719
121	4575	6676
122	4611	6635
123	4646	6594
124	4680	6553
125	4718	6516
126	4755	6477
127	4793	6441
128	4827	6399
129	4862	6358
130	4896	6316
131	4933	6279
132	4973	6244
133	5021	6221
134	5076	6204
135	5129	6185
136	5167	6148
137	5202	6107
138	5239	6068
139	5281	6035
140	5315	5994
141	5353	5956
142	5387	5914
143	5424	5876
144	5463	5840
145	5500	5801
146	5535	5761
147	5568	5718
148	5601	5677
149	5642	5642
150	5678	5603
151	5726	5575
152	5758	5532
153	5798	5496
154	5830	5453
155	5864	5413
156	5897	5371
157	5933	5332
158	5969	5293
159	6003	5252
160	6041	5215
161	6075	5175
162	6108	5134
163	6142	5093
164	6177	5054
165	6213	5016
166	6251	4978
167	6287	4940
168	6322	4900
169	6355	4860
170	6391	4821
171	6426	4782
172	6462	4743
173	6497	4705
174	6537	4669
175	6569	4628
176	6606	4590
177	6642	4552
178	6689	4522
179	6730	4487
180	6761	4445
181	6795	4405
182	6834	4369
183	6874	4333
184	6913	4297
185	6950	4259
186	6991	4225
187	7044	4196
188	7083	4159
189	7119	4122
190	7168	4090
191	7204	4052
192	7240	4014
193	7280	3978
194	7315	3939
195	7352	3901
196	7388	3862
197	7425	3825
198	7459	3785
199	7492	3746
200	7527	3707
201	7562	3668
202	7598	3630
203	7631	3591
204	7664	3551
205	7698	3512
206	7729	3472
207	7766	3435
208	7803	3397
209	7834	3357
210	7872	3320
211	7904	3280
212	7942	3244
213	7980	3207
214	8018	3170
215	8056	3132
216	8087	3093
217	8124	3055
218	8161	3018
219	8196	2980
220	8234	2943
221	8268	2905
222	8307	2868
223	8344	2831
224	8382	2794
225	8417	2756
226	8449	2717
227	8486	2679
228	8518	2641
229	8558	2604
230	8597	2567
231	8630	2529
232	8671	2493
233	8702	2454
234	8735	2416
235	8774	2379
236	8826	2346
237	8864	2309
238	8897	2270
239	8933	2233
240	8971	2196
241	9006	2158
242	9044	2121
243	9077	2083
244	9110	2045
245	9142	2006
246	9173	1968
247	9208	1930
248	9244	1893
249	9285	1857
250	9316	1818
251	9353	1781
252	9387	1743
253	9421	1706
254	9453	1668
255	9489	1631
256	9522	1593
257	9558	1556
258	9591	1518
259	9629	1481
260	9663	1443
261	9697	1406
262	9733	1369
263	9773	1332
264	9807	1295
265	9842	1258
266	9873	1220
267	9910	1183
268	9945	1146
269	9979	1108
270	10011	1071
271	10043	1033
272	10076	996
273	10112	959
274	10148	922
275	10184	885
276	10226	849
277	10263	812
278	10296	775
279	10337	738
280	10374	701
281	10409	664
282	10444	627
283	10484	590
284	10520	553
285	10558	516
286	10594	479
287	10630	442
288	10669	406
289	10704	369
290	10737	332
291	10771	295
292	10804	258
293	10838	221
294	10874	184
295	10907	147
296	10947	110
297	10985	73
298	11023	36
299	11065	0
